date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,scheduled_vol_mw,MCP,scrape_timestamp
25-02-2026,01:45-02:00,5590.4,9480.5,3769.2,3769.2,3499.69,2026-02-25 11:04:05
25-02-2026,02:00-02:15,5.0,,5441.1,9803.4,3296.66,2026-02-25 11:04:05
25-02-2026,02:15-02:30,5345.1,9542.7,3630.2,3630.2,3386.12,2026-02-25 11:04:05
25-02-2026,02:30-02:45,,6203.1,9812.9,4077.05,3550.23,2026-02-25 11:04:05
25-02-2026,02:45-03:00,6068.1,9551.9,3985.2,3985.2,3561.47,2026-02-25 11:04:05
25-02-2026,03:00-03:15,7.0,,5995.2,9523.7,3588.46,2026-02-25 11:04:05
25-02-2026,03:15-03:30,6028.7,9218.1,4136.93,4136.93,3600.58,2026-02-25 11:04:05
25-02-2026,03:30-03:45,,6365.7,9145.3,4310.93,3700.56,2026-02-25 11:04:05
25-02-2026,03:45-04:00,6078.6,8878.6,4122.58,4122.58,3627.64,2026-02-25 11:04:05
25-02-2026,04:00-04:15,9.0,,6364.5,8676.7,3739.5,2026-02-25 11:04:05
25-02-2026,04:15-04:30,7276.3,8366.7,4728.9,4728.9,3930.96,2026-02-25 11:04:05
25-02-2026,04:30-04:45,,7454.5,7944.0,4870.0,4065.6,2026-02-25 11:04:05
25-02-2026,04:45-05:00,8215.9,8237.6,5518.7,5518.7,4230.7,2026-02-25 11:04:05
25-02-2026,05:00-05:15,11.0,,8491.5,8596.7,4230.49,2026-02-25 11:04:05
25-02-2026,05:15-05:30,9240.8,6594.0,4829.71,4829.71,4500.89,2026-02-25 11:04:05
25-02-2026,05:30-05:45,,8024.1,6016.1,5089.73,5001.92,2026-02-25 11:04:05
25-02-2026,05:45-06:00,9032.7,5731.6,5205.8,5205.8,6148.54,2026-02-25 11:04:05
25-02-2026,06:00-06:15,13.0,,9754.8,6006.5,8000.24,2026-02-25 11:04:05
25-02-2026,06:15-06:30,11280.0,5659.3,5659.29,5659.29,10000.0,2026-02-25 11:04:05
25-02-2026,06:30-06:45,,14882.5,5700.6,5700.6,10000.0,2026-02-25 11:04:05
25-02-2026,06:45-07:00,20771.4,5008.8,5008.8,5008.8,10000.0,2026-02-25 11:04:05
25-02-2026,07:00-07:15,15.0,,39352.4,5916.1,10000.0,2026-02-25 11:04:05
25-02-2026,07:15-07:30,43080.3,5897.2,5897.2,5897.2,10000.0,2026-02-25 11:04:05
25-02-2026,07:30-07:45,,43365.5,6172.8,6172.8,10000.0,2026-02-25 11:04:05
25-02-2026,07:45-08:00,34711.9,6654.0,6653.99,6653.99,10000.0,2026-02-25 11:04:05
25-02-2026,08:00-08:15,17.0,,17098.5,8082.6,10000.0,2026-02-25 11:04:05
25-02-2026,08:15-08:30,12145.0,8893.4,8684.42,8684.42,9000.91,2026-02-25 11:04:05
25-02-2026,08:30-08:45,,10331.2,10664.0,8361.36,4310.84,2026-02-25 11:04:05
25-02-2026,08:45-09:00,9126.7,12221.9,8929.37,8929.37,3000.87,2026-02-25 11:04:05
